Time(s), T_gas(K), N_gas(#/cm^3), e, N, N2, N2(A), N2(B), N2(a'), N2(C), N^+, N2^+, N3^+, N4^+
0.00207963, 300.636, 2.44114e+19, 4.78345e+07, 4.48326e+12, 2.44114e+19, 1.63868e+13, 1.25111e+09, 9.55954e+10, 1.52983e+09, 498113, 1.23262e+12, 6.1386e+12, 752082
0.00208548, 300.64, 2.44111e+19, 5.02888e+07, 4.50587e+12, 2.4411e+19, 2.12689e+13, 1.49106e+09, 1.12933e+11, 1.82588e+09, 595414, 1.28646e+12, 6.17816e+12, 245465
0.00209251, 300.646, 2.44106e+19, 4.96905e+07, 4.54857e+12, 2.44105e+19, 2.64205e+13, 1.6781e+09, 1.24775e+11, 2.04006e+09, 694300, 1.34586e+12, 6.24223e+12, 103174
0.00209719, 300.651, 2.44102e+19, 4.68368e+07, 4.58545e+12, 2.44102e+19, 2.91094e+13, 1.7277e+09, 1.26767e+11, 2.08761e+09, 762731, 1.37719e+12, 6.29394e+12, 58342.9
0.00210656, 300.66, 2.44094e+19, 4.11203e+07, 4.67255e+12, 2.44094e+19, 3.23198e+13, 1.70952e+09, 1.22047e+11, 2.03137e+09, 826235, 1.41094e+12, 6.41183e+12, 42002.6
0.00211475, 300.668, 2.44088e+19, 3.30365e+07, 4.75526e+12, 2.44088e+19, 3.29428e+13, 1.52156e+09, 1.05927e+11, 1.77887e+09, 851626, 1.4087e+12, 6.52228e+12, 36559.4
0.00212178, 300.674, 2.44083e+19, 2.50189e+07, 4.82418e+12, 2.44082e+19, 3.20613e+13, 1.26516e+09, 8.57192e+10, 1.45194e+09, 832707, 1.38457e+12, 6.61516e+12, 43428
0.00212881, 300.679, 2.44079e+19, 1.74794e+07, 4.88653e+12, 2.44078e+19, 3.0168e+13, 9.85267e+08, 6.46426e+10, 1.10597e+09, 784185, 1.34427e+12, 6.70129e+12, 63810.9
0.002137, 300.684, 2.44075e+19, 1.07279e+07, 4.94748e+12, 2.44074e+19, 2.72437e+13, 7.00512e+08, 4.41114e+10, 7.64656e+08, 703295, 1.28631e+12, 6.78939e+12, 125992
0.00214871, 300.69, 2.4407e+19, 5.08645e+06, 5.01112e+12, 2.4407e+19, 2.2838e+13, 4.2007e+08, 2.49648e+10, 4.41235e+08, 565177, 1.20228e+12, 6.89038e+12, 518832
0.00216042, 300.693, 2.44067e+19, 1.53736e+06, 5.05119e+12, 2.44067e+19, 1.89003e+13, 2.37111e+08, 1.29636e+10, 2.36795e+08, 399995, 1.13003e+12, 6.96622e+12, 5.75098e+06
0.0021733, 300.696, 2.44065e+19, 317357, 5.07453e+12, 2.44065e+19, 1.54716e+13, 1.43076e+08, 7.43263e+09, 1.39052e+08, 240092, 1.06886e+12, 7.02762e+12, 1.77216e+08
0.00218853, 300.699, 2.44063e+19, 78910.3, 5.08139e+12, 2.44063e+19, 1.2461e+13, 9.03511e+07, 4.63231e+09, 8.73078e+07, 110099, 9.97999e+11, 7.07823e+12, 2.0407e+10
0.00220726, 300.701, 2.44061e+19, 117855, 5.03904e+12, 2.44061e+19, 9.83774e+12, 5.61747e+07, 2.87206e+09, 5.4198e+07, 94731.6, 8.8216e+10, 7.04282e+12, 9.65544e+11
0.00222248, 300.703, 2.4406e+19, 406543, 5.00269e+12, 2.4406e+19, 8.24212e+12, 3.92617e+07, 2.00511e+09, 3.7896e+07, 30571.1, 3.23987e+08, 7.00819e+12, 1.08803e+12
0.00224239, 300.704, 2.44059e+19, 1.67609e+06, 4.95578e+12, 2.44058e+19, 6.63883e+12, 2.54289e+07, 1.29918e+09, 2.45732e+07, 7865.96, 5.16312e+06, 6.96355e+12, 1.13293e+12
0.00225, 300.704, 2.44058e+19, 1.32734e+06, 4.93802e+12, 2.44058e+19, 6.13454e+12, 2.1712e+07, 1.10919e+09, 2.09818e+07, 5929.99, 2.65196e+06, 6.94668e+12, 1.14978e+12
0.00225703, 300.705, 2.44058e+19, 970309, 4.92172e+12, 2.44058e+19, 5.71195e+12, 1.88235e+07, 9.61549e+08, 1.81906e+07, 8463.65, 6.02181e+06, 6.93121e+12, 1.16523e+12
0.00226522, 300.705, 2.44058e+19, 1.67599e+06, 4.90281e+12, 2.44057e+19, 5.26462e+12, 1.59995e+07, 8.16926e+08, 1.5454e+07, 15819.4, 3.18684e+07, 6.91328e+12, 1.18312e+12
0.00227459, 300.706, 2.44057e+19, 2.7035e+06, 4.88134e+12, 2.44057e+19, 4.81044e+12, 1.3865e+07, 6.98209e+08, 1.30754e+07, 34876.5, 4.42351e+08, 6.89294e+12, 1.20301e+12
0.00228279, 300.706, 2.44057e+19, 3.28568e+06, 4.86266e+12, 2.44057e+19, 4.4803e+12, 1.5673e+07, 7.76851e+08, 1.35809e+07, 72568.5, 1.06829e+10, 6.87553e+12, 1.21018e+12
0.00229098, 300.706, 2.44057e+19, 1.40583e+06, 4.84387e+12, 2.44057e+19, 4.18487e+12, 1.51915e+07, 7.99899e+08, 1.37475e+07, 115498, 2.48147e+11, 6.86345e+12, 9.84848e+11
0.00229918, 300.706, 2.44057e+19, 1.19349e+06, 4.8245e+12, 2.44057e+19, 3.93447e+12, 1.76709e+07, 1.01632e+09, 1.68757e+07, 103660, 1.10947e+12, 6.86905e+12, 1.18144e+11
0.00230504, 300.707, 2.44056e+19, 4.98456e+06, 4.81083e+12, 2.44056e+19, 4.02094e+12, 6.52319e+07, 4.37251e+09, 6.78764e+07, 160036, 1.219e+12, 6.87415e+12, 5.20697e+09
0.00230972, 300.707, 2.44056e+19, 1.12248e+07, 4.8006e+12, 2.44056e+19, 4.53151e+12, 1.72007e+08, 1.23042e+10, 1.90681e+08, 229149, 1.22432e+12, 6.87863e+12, 4.92314e+08
0.0023144, 300.708, 2.44055e+19, 1.98525e+07, 4.79199e+12, 2.44055e+19, 5.75794e+12, 3.54024e+08, 2.62464e+10, 4.09297e+08, 303206, 1.23175e+12, 6.88455e+12, 6.94686e+07
0.00231674, 300.708, 2.44055e+19, 2.94428e+07, 4.78871e+12, 2.44055e+19, 6.80072e+12, 5.77136e+08, 4.37273e+10, 6.84733e+08, 365121, 1.23986e+12, 6.8885e+12, 1.78222e+07
0.00232026, 300.71, 2.44054e+19, 3.75053e+07, 4.78595e+12, 2.44054e+19, 8.94954e+12, 7.96346e+08, 6.084e+10, 9.57797e+08, 418785, 1.25836e+12, 6.89666e+12, 6.81824e+06
0.00232377, 300.711, 2.44053e+19, 4.34615e+07, 4.78649e+12, 2.44052e+19, 1.15509e+13, 1.00675e+09, 7.73463e+10, 1.22517e+09, 484449, 1.28265e+12, 6.90822e+12, 2.45362e+06
0.00232963, 300.715, 2.4405e+19, 4.78219e+07, 4.79639e+12, 2.4405e+19, 1.63721e+13, 1.25058e+09, 9.55585e+10, 1.5292e+09, 575614, 1.33059e+12, 6.93696e+12, 811070
0.00233548, 300.719, 2.44047e+19, 5.02756e+07, 4.81864e+12, 2.44046e+19, 2.12501e+13, 1.49035e+09, 1.12885e+11, 1.82504e+09, 684524, 1.38215e+12, 6.97874e+12, 263467
0.00234251, 300.725, 2.44042e+19, 4.96775e+07, 4.86176e+12, 2.44041e+19, 2.63974e+13, 1.67717e+09, 1.24715e+11, 2.039e+09, 793367, 1.43794e+12, 7.04632e+12, 110127
0.00234719, 300.729, 2.44038e+19, 4.68246e+07, 4.89926e+12, 2.44038e+19, 2.9084e+13, 1.72665e+09, 1.26701e+11, 2.08643e+09, 868319, 1.46651e+12, 7.10073e+12, 62067.2
0.00235656, 300.739, 2.4403e+19, 4.11095e+07, 4.98795e+12, 2.4403e+19, 3.22916e+13, 1.70833e+09, 1.21975e+11, 2.03008e+09, 934782, 1.49445e+12, 7.22432e+12, 44445.9
0.00236475, 300.747, 2.44024e+19, 3.30278e+07, 5.07194e+12, 2.44023e+19, 3.29139e+13, 1.52039e+09, 1.05858e+11, 1.77762e+09, 959602, 1.4873e+12, 7.3396e+12, 38562
0.00237178, 300.753, 2.44019e+19, 2.50124e+07, 5.14162e+12, 2.44018e+19, 3.20329e+13, 1.26409e+09, 8.56573e+10, 1.45081e+09, 936016, 1.45938e+12, 7.43621e+12, 45730.2
0.00237881, 300.758, 2.44015e+19, 1.74748e+07, 5.20426e+12, 2.44014e+19, 3.01408e+13, 9.8434e+08, 6.45901e+10, 1.105e+09, 880170, 1.41584e+12, 7.52554e+12, 67143.4
0.002387, 300.763, 2.44011e+19, 1.07251e+07, 5.2649e+12, 2.4401e+19, 2.72184e+13, 6.99757e+08, 4.40697e+10, 7.63885e+08, 788785, 1.35488e+12, 7.6166e+12, 132579
0.00239871, 300.769, 2.44006e+19, 5.08511e+06, 5.32696e+12, 2.44006e+19, 2.28153e+13, 4.19521e+08, 2.49352e+10, 4.40684e+08, 633972, 1.26789e+12, 7.72052e+12, 546618
0.00241042, 300.772, 2.44003e+19, 1.53696e+06, 5.36436e+12, 2.44003e+19, 1.888e+13, 2.36714e+08, 1.29428e+10, 2.36404e+08, 449105, 1.19396e+12, 7.79803e+12, 6.07045e+06
0.0024233, 300.775, 2.44001e+19, 317274, 5.38382e+12, 2.44001e+19, 1.54533e+13, 1.42784e+08, 7.41753e+09, 1.38767e+08, 269943, 1.13201e+12, 7.86019e+12, 1.875e+08
0.00243853, 300.778, 2.43999e+19, 78889.6, 5.38511e+12, 2.43999e+19, 1.24446e+13, 9.01385e+07, 4.62133e+09, 8.71e+07, 124008, 1.06003e+12, 7.91068e+12, 2.16537e+10
0.00245726, 300.78, 2.43997e+19, 117824, 5.33455e+12, 2.43997e+19, 9.82593e+12, 5.60554e+07, 2.86588e+09, 5.40813e+07, 107070, 9.42177e+10, 7.86794e+12, 1.03014e+12
0.00247248, 300.782, 2.43996e+19, 406436, 5.29163e+12, 2.43995e+19, 8.23302e+12, 3.91856e+07, 2.00116e+09, 3.78214e+07, 34649.3, 3.47348e+08, 7.82697e+12, 1.16494e+12
0.00249239, 300.783, 2.43995e+19, 1.67565e+06, 5.2363e+12, 2.43994e+19, 6.63217e+12, 2.53848e+07, 1.29688e+09, 2.45297e+07, 8943.95, 5.56953e+06, 7.77422e+12, 1.21797e+12
0.0025, 300.783, 2.43994e+19, 1.32699e+06, 5.21539e+12, 2.43994e+19, 6.12859e+12, 2.16758e+07, 1.1073e+09, 2.09461e+07, 6750.03, 2.86725e+06, 7.75431e+12, 1.23785e+12
